"PropertyID","SaleDollarCnt"
48735321,2048029.13611189
48735471,638653.71863359
49128764,444597.342885445
48897535,325878.73639572
49083957,759599.635115107
48735139,502545.68863232
49050509,375878.951526327
48779919,705090.461721538
48938810,387873.94129803
48764026,483193.938618056
48800998,483352.383559021
48938840,454334.803059052
48708330,344241.199065869
48938842,386476.881904667
48938860,410394.638838193
48999322,349441.353296201
48995218,722159.944065996
48708194,479427.774125209
48708200,547974.041113331
48708248,474445.757574089
48708239,438220.27204739
48999427,370514.790563526
48999374,469205.378895678
48991139,389750.40649547
48991282,428515.523232282
48991465,382472.185207691
48991525,336744.886074151
48991316,384879.909582488
48991354,387804.774415712
48830311,486031.597254635
48995430,406934.038783192
48975563,539453.509449896
48830343,373209.309801365
48775590,425491.071810504
48757761,371797.321921589
48757750,448587.832160908
48995542,481574.229354875
49091102,360116.775799926
48997093,326836.81640333
48985565,393513.897398598
48996857,369356.389925368
48996733,382561.669126803
89821776,292147.340764481
48997089,460739.161831711
48996766,369551.075472978
48996772,346221.599886973
48996843,370705.33932744
48695718,366309.627106603
48950367,411222.544032119
48688235,386634.548397214
48688220,383206.155748065
48798580,499823.353189692
48757434,431096.383846203
48790414,344653.807955485
48790370,434929.357808972
48955685,630020.589401353
48984304,443101.872594054
49030833,423611.66742487
48984422,438259.583801387
48807570,515467.823976895
48790990,596951.294809716
48807509,614413.444007381
48798574,637283.005438174
48807566,556095.17401475
48798518,545861.699305092
48815303,783888.923379132
48815292,682793.617731682
48936856,417541.267153557
48707466,601871.027885908
48789908,449912.54524248
48995333,387644.171081001
48985534,372028.323770371
48843291,655160.71977035
48843261,2435790.18413013
48994561,629197.64822968
84757140,210596.915699537
48815281,404690.794289294
49103656,433339.52204894
48875759,383690.403908715
63266265,664453.591321258
48830068,562044.911575953
48829948,515046.172794419
49054071,352170.273569178
49007579,426872.958825614
49007630,580795.719254811
49007566,404661.72143398
117747793,741722.903101082
49103465,376674.962957831
49103215,757829.950091693
49103266,590048.235899056
49103560,611724.356426262
48919063,408234.113180436
48821791,511612.292840076
48919259,819473.672667411
48919208,398799.167191277
49103371,515300.367124017
49103074,639515.267875664
48690369,361425.316219201
96705208,728648.177058529
49034404,903061.033272806
48829986,472529.60996376
49109589,717766.810682299
48688285,462843.732702134
49146310,325445.35578861
48810363,614825.745371937
48810202,949971.035520266
48969368,565991.183401539
48947013,529139.011278211
48969371,462122.657798156
48947215,589637.97322702
48947370,587672.854613588
48820276,527266.926777681
48710141,506285.295702029
